product_id,product_rating
PTPE2GJQXEWHGZEK,5.0
NKCDWRYFPAFEQA5Z,4.0
FABE88MGUBPCQWR8,5.0
ACCE9EYRRNZYZUBG,5.0
NKCEFG3CHGEHMRTD,4.0
CRTE8389HNP2UHPT,5.0
ACCEY6JYDGGESWXC,3.4
PTPDVPFYEKTVFEZ8,3.0
ACCEFET7MKNAJVAH,3.6
SHIE2CAJP6XBWPU2,5.0
SHIEF8DUHZJP8MVC,5.0
ACCDRREFMB99QZ42,2.4
NKCECJAHAMVG7Q8M,5.0
ACCE2SXDBTYNYYQ3,4.0
PACDZTD7YB2EUMYE,3.7
NKCEYGTG972MN8T3,1.5
PTPDVPEXXGZQMC2G,4.0
NKCDYRHGHJCQ65WW,2.0
NKCDY8S8CCG32GQH,1.0
PTPE7JZCBGGKPSGS,5.0
SNDEHZKGKGHDFG57,5.0
SNDEHZKGZHHHQVYX,5.0
ECIEF7MGVGZAZMGG,2.0
SUIE5GT3DSJCKEJF,3.7
SUIE8H94SYGX7PKR,5.0
SHIE86XAGBVWRWH3,5.0
LIDDVFAFGAYTM8HH,4.0
BFAD3ZJYYCXDAVGH,3.6
SHIE8M9PWUF5H4SF,5.0
PSREFBQM8V7GVCGX,3.3
NKCDQSVCY7GJM39D,3.6
SHIE954FZSSHYFGG,5.0
PSRD7NKJGFMGAZQG,4.3
NKCDTAXFFYUASQNQ,1.0
NKCEFKBYZBXUBYBZ,4.0
RTRDP2HXHPPTGQHE,3.0
CAGDS6VEGGYYEYUH,3.0
NKCDYYQWT2ZZUYZD,4.0
RTRE8GJUFNETVUMZ,5.0
RTRDNGVMCHXQT6HU,3.0
NKCDTAXFFDCCGUY4,4.5
CAGE4BQYUXBFXZVF,5.0
CAGE7GUFJG7JZ3HC,3.0
NKCDRDWANFDGXSSK,3.0
CAGDW63HYZAJ4EK9,5.0
NKCE4VA4M7ZHQFV6,5.0
RTRE7FT9VKRGNTRR,5.0
PBXE7YYYSETDYV9P,5.0
NKCE3Y5PSKAJSBPY,5.0
RTRD38494HWZVMAK,3.8
RTRDNGVMH2ZJZRMQ,3.7
CAGE6HYJPDEM4AN3,4.5
NKCDXZGUZKNYVXG9,2.8
RTRDU88AKQFRZU2U,3.6
NKCE96SXVSQHFGNP,5.0
RTRDET9AQR7EMM2G,4.2
CAGE4BQXKEZPSHWG,3.0
RTRDFFYGTZUBKJTS,2.9
CAGE6GQCC6YG7FTD,3.5
RTREYTY2TMVNXZG4,4.3
RTRDFFYGJ4GNRSHQ,4.0
RTRDZK8XZBQDJ35U,3.6
RTREFWYNH9RGDCQK,3.5
CAGE22EEH2JMZFZV,4.5
CAGE9AGRUGPHV5FM,1.0
RTRE3KKX5RWCKMHH,5.0
RTRDZCPAY9YHMG4X,3.5
RTRDNGVMKKUNBA5B,5.0
RTRDZBJ5VAZG7VGC,2.3
NKCDYPDSUPDSVYU3,2.0
NKCDYPDS8THDBS7K,4.1
CAGDTSJUFVMVP3XG,3.3
RTREF5VHQR3VGVHY,5.0
RTREFH7UGSFUT6PB,4.5
PBXE7NYSPF4FKVY6,5.0
RTRDZ5PJTSHHXGME,4.2
RTRE2RMAAU4D3H5X,3.2
RTRDRDPR9JHCSBGH,4.3
RTREBG9CJ7HHSHGJ,5.0
RTRD8FNGHSBCKK6Z,4.2
RTRD6352VX7RZSWG,4.1
PBXEBYHC7D4NF76E,5.0
RTRDQZMJBWHZCXZT,5.0
NKCEFMKXRPRZAZKK,5.0
CAGDRJJ3HWPMJUCC,3.0
PBXE4RB4DSFQPASY,3.9
CAGDYY25E8RVC7EG,3.6
RTRDNY65WHG9FHTS,5.0
NKCE4VA4SEQFEYUH,5.0
NKCE96SXDK3JFZC3,5.0
RTRE3XW7JS6YJHG5,4.0
CAGDRJ8WYSTGZ6UE,3.0
PBXEAEN4R6HUGZJV,5.0
RTRDMTEPMWHHPSUS,4.2
RTRDQGV3ZTKAZTPD,3.8
RTRE63NMMRZ8MUJT,3.2
RTREAX3DGDRSSYFT,5.0
NKCDV7KGEEZHJVJY,5.0
CAGE4B8YHZK3KTUX,4.5
CAGDWGCSDGYNDH3Y,2.7
RTRDEKJVRCDYXRST,4.2
RTRDTSBQW94HJ8VT,4.2
CAGE6HYJGDZQXHQD,4.0
CAGDUDG8TBQXEA2D,3.4
CAGE8TQ8KFEGHY9M,4.0
RTRDZBJ5E8TBFDD9,5.0
CAGDV253CTVNMSP2,5.0
RTRDFFYGM2TEWVCC,3.7
CAGDU84G2G5AEAE5,1.0
NKCE676XRFECGZHC,2.3
RTRDYR4HXQJ8T3WR,3.9
RTRDETBCHYE3UZAA,4.0
RTRDRMGYGV73A3XJ,4.2
RTRE7DBHH85JTHXC,2.8
RTRDZTF9URF2UFPF,3.8
RTRDF7QU6QFFZFKB,3.0
RTRDYJUN75ZHEUD4,4.0
NKCDTAXFQMHPMUTQ,5.0
RTRDQSSHGP7UGRFC,4.9
CAGDTSJUNHZGYZRS,1.0
CAGEYFZWNWG6SMHG,2.0
RTRDY9NVKBBNGYMU,4.3
CAGE22EETSQPZKZA,3.1
RTRE387ZDKW7NQGV,4.1
PBXE8FW6ZZZF2RQA,3.0
CAGE44J5NGQHXMHF,4.7
NKCDRDWAZU9ZJNHZ,5.0
CAGE7TVZGNX4AMDR,1.0
PBXE6ZHNEGF3VGZW,5.0
CAGE6GQC6UYAGC5C,5.0
RTRDHWZYK9SN4MGZ,3.7
RTRD7XKFDBPBR6CV,4.5
RTRDQZMJHRSR6CA9,5.0
NKCE3Y5PHMWUUWQ3,5.0
CAGDR3XKFCZ6XA2F,2.0
RTRE38HFGYDDZYGZ,2.9
CAGDVVX954JSSCGP,4.0
RTRDFFYG65VG5RWS,4.0
RTRECFHX3TDFD9SP,1.0
RTRE4ZQB3BTTWZKT,4.0
RTRE4VNCJZ3UPGQZ,3.3
RTRDRSBNRDBZEPTY,5.0
RTRE96W36WAJHRCF,2.3
RTRDB8GKEGG5E3XG,4.2
NKCE4VA49YHSX6KW,4.8
RTRECM6WZFBZYSTK,4.2
RTRD7XKFRCZH8TE4,4.2
PBXEACG2FBGPQKWG,1.0
CAGE53FSKAYSFUXG,5.0
CAGE4DWQQYHVPD8C,4.7
CAGE5RNE4JVBXZBX,3.0
NKCE4VA4M2ZKZGUY,5.0
RTRDQ9YMUHW7PYYE,5.0
RTRDNGVME4HGYAM8,4.8
RTRDYPA4PJHCJCGF,4.4
CAGDVVX97KZEH2EJ,4.2
CAGDZVGTV3SMMMBY,3.7
CAGE4BQXSJPTBUS4,5.0
PBXEBYHC4S5BQYDA,5.0
RTRD8FNG6FUTFZQJ,4.2
RTRDZK8XDZTJDJFN,5.0
CAGDUNH3FHZWCVKN,4.3
CAGE38D7F5XQSYNC,5.0
RTRDNGVMSXKSREUJ,5.0
NKCEFMKXMH4AX4WF,5.0
NKCE3Y5PDN4U66HC,5.0
CAGE75ZXGZPBMZVG,4.5
RTRE2XJSG2ZFVFTW,5.0
RTRE6CPUD2WJRNMG,4.0
NKCE8JUJEUE3HR4H,4.3
RTRDHYYVPHSGSDGA,4.2
NKCE8RB5BFGQYK4G,5.0
RTRDK7TWJB6RCNP9,3.4
NKCE34THCPW5V7FV,5.0
CAGEYUXVAKNKDUUV,4.5
CAGDUYCCZRGCGCS3,3.7
RTRD7HN3JJYF6WN2,4.2
CAGE6SYMVUA8FPT8,3.4
RTRE7DBH3ZDKADUS,4.0
NKCDTAXF4CZFDXGZ,5.0
RTRDBECHFKZTHEP8,4.1
RTRDZBJ5GRMDUZ8H,4.5
CAGDVVX9HE6C9WYF,3.9
CAGE3GFTPMNXPZAG,1.0
CAGE6FYKYKQEWRBS,2.0
PBXE7NY9ZRYZFBAZ,5.0
RTRE8GKF2CUJ2GNN,4.4
